fullName,dataType,length
applicationProtocol,String,31
baseEventCount,Integer,
bytesIn,Long,
bytesOut,Long,
categoryBehavior,String,1023
categoryDeviceGroup,String,1023
categoryObject,String,1023
categoryOutcome,String,1023
categorySignificance,String,1023
categoryTechnique,String,1023
cryptoSignature,String,512
customerURI,String,2048
destinationAddress,IpAddress,
destinationDnsDomain,String,255
destinationHostName,String,1023
destinationMacAddress,MacAddress,
destinationNtDomain,String,255
destinationPort,Integer,
destinationProcessName,String,1023
destinationServiceName,String,1023
destinationTranslatedAddress,IpAddress,
destinationTranslatedPort,Integer,
destinationTranslatedZoneURI,String,2048
destinationUserId,String,1023
destinationUserName,String,1023
destinationUserPrivileges,String,1023
destinationZoneURI,String,2048
deviceAction,String,63
deviceAddress,IpAddress,
deviceCustomDate1,DateTime,
deviceCustomDate1Label,String,1023
deviceCustomDate2,DateTime,
deviceCustomDate2Label,String,1023
deviceCustomIPv6Address1,IPv6 Address,
deviceCustomIPv6Address1Label,String,1023
deviceCustomIPv6Address2,IPv6 Address,
deviceCustomIPv6Address2Label,String,1023
deviceCustomIPv6Address3,IPv6 Address,
deviceCustomIPv6Address3Label,String,1023
deviceCustomNumber1,Long,
deviceCustomNumber1Label,String,1023
deviceCustomNumber2,Long,
deviceCustomNumber2Label,String,1023
deviceCustomNumber3,Long,
deviceCustomNumber3Label,String,1023
deviceCustomString1,String,4000
deviceCustomString1Label,String,1023
deviceCustomString2,String,4000
deviceCustomString2Label,String,1023
deviceCustomString3,String,4000
deviceCustomString3Label,String,1023
deviceCustomString4,String,4000
deviceCustomString4Label,String,1023
deviceCustomString5,String,4000
deviceCustomString5Label,String,1023
deviceCustomString6,String,4000
deviceCustomString6Label,String,1023
deviceDnsDomain,String,255
deviceDomain,String,1023
deviceEventCategory,String,1023
deviceExternalId,String,255
deviceFacility,String,1023
deviceHostName,String,63
deviceInboundInterface,String,15
deviceMacAddress,MacAddress,
deviceNtDomain,String,255
deviceOutboundInterface,String,15
devicePayloadId,String,128
deviceProcessName,String,1023
deviceReceiptTime,DateTime,
deviceTimeZone,String,255
deviceTranslatedAddress,IpAddress,
deviceTranslatedZoneURI,String,2048
deviceZoneURI,String,2048
endTime,DateTime,
externalId,String,40
fileCreateTime,DateTime,
fileHash,String,255
fileId,String,1023
fileModificationTime,DateTime,
fileName,String,1023
filePath,String,1023
filePermission,String,1023
fileSize,Long,
fileType,String,1023
flexDate1,DateTime,
flexDate1Label,String,128
flexNumber1,Long,
flexNumber1Label,String,128
flexNumber2,Long,
flexNumber2Label,String,128
flexString1,String,1023
flexString1Label,String,128
flexString2,String,1023
flexString2Label,String,128
message,String,1023
oldFileCreateTime,DateTime,
oldFileHash,String,255
oldFileId,String,1023
oldFileModificationTime,DateTime,
oldFileName,String,1023
oldFilePath,String,1023
oldFilePermission,String,1023
oldFileSize,Long,
oldFileType,String,1023
rawEvent,String,4000
requestClientApplication,String,1023
requestContext,String,2048
requestCookies,String,1023
requestMethod,String,1023
requestUrl,String,1023
sourceAddress,IpAddress,
sourceDnsDomain,String,255
sourceHostName,String,1023
sourceMacAddress,MacAddress,
sourceNtDomain,String,255
sourcePort,Integer,
sourceProcessName,String,1023
sourceServiceName,String,1023
sourceTranslatedAddress,IpAddress,
sourceTranslatedPort,Integer,
sourceTranslatedZoneURI,String,2048
sourceUserId,String,1023
sourceUserName,String,1023
sourceUserPrivileges,String,1023
sourceZoneURI,String,2048
startTime,DateTime,
transportProtocol,String,31
