dictionaryName,version,key,fullName,dataType,length,description
devguide,,,applicationProtocol,String,31,n/a
devguide,,,baseEventCount,Integer,n/a,0 -> 231-1
devguide,,,bytesIn,Long,n/a,0 -> 263-1
devguide,,,bytesOut,Long,n/a,0 -> 263-1 -1
devguide,,,categoryBehavior,String,1023,n/a (1)
devguide,,,categoryDeviceGroup,String,1023,n/a (1)
devguide,,,categoryObject,String,1023,n/a (1)
devguide,,,categoryOutcome,String,1023,n/a (1)
devguide,,,categorySignificance,String,1023,n/a (1)
devguide,,,categoryTechnique,String,1023,n/a (1)
devguide,,,cryptoSignature,String,512,n/a
devguide,,,customerURI,String,,n/a (2)
devguide,,,destinationAddress,IPAddress,n/a,IPv4 or IPv6 (3)
devguide,,,destinationDnsDomain,String,255,n/a
devguide,,,destinationHostName,String,1023,n/a
devguide,,,destinationMacAddress,MacAddress,n/a,MAC (4)
devguide,,,destinationNtDomain,String,255,n/a
devguide,,,destinationPort,Integer,n/a,0 ->65535
devguide,,,destinationProcessName,String,1023,n/a
devguide,,,destinationServiceName,String,1023,n/a
devguide,,,destinationTranslatedAddress,IPAddress,n/a,IPv4 or IPv6 (3)
devguide,,,destinationTranslatedPort,Integer,n/a,0 -> 65535
devguide,,,destinationTranslatedZoneURI,String,,n/a (2)
devguide,,,destinationUserId,String,1023,n/a
devguide,,,destinationUserName,String,1023,n/a
devguide,,,destinationUserPrivileges,String,1023,n/a
devguide,,,destinationZoneURI,String,,n/a (2)
devguide,,,deviceAction,String,63,n/a
devguide,,,deviceAddress,IPAddress,n/a,IPv4  or IPv6 (3)
devguide,,,deviceCustomDate1,TimeStamp,n/a,n/a (5)
devguide,,,deviceCustomDate1Label,String,1023,n/a
devguide,,,deviceCustomDate2,TimeStamp,n/a,n/a (5)
devguide,,,deviceCustomDate2Label,String,1023,n/a
devguide,,,deviceCustomIPv6Address1,IPAddress,n/a,IPv6 (8)
devguide,,,deviceCustomIPv6Address1Label,String,1023,Should be “Device IPv6 Address”
devguide,,,deviceCustomIPv6Address2,IPAddress,n/a,IPv6 (8)
devguide,,,deviceCustomIPv6Address2Label,String,1023,Should be “Source IPv6 Address”
devguide,,,deviceCustomIPv6Address3,IPAddress,n/a,IPv6 (8)
devguide,,,deviceCustomIPv6Address3Label,String,1023,Should be “Destination IPv6 Address”
devguide,,,deviceCustomNumber1,Long,n/a,- 263 -> 263-1
devguide,,,deviceCustomNumber1Label,String,1023,n/a
devguide,,,deviceCustomNumber2,Long,n/a,- 263 -> 263-1
devguide,,,deviceCustomNumber2Label,String,1023,n/a
devguide,,,deviceCustomNumber3,Long,n/a,- 263 -> 263-1
devguide,,,deviceCustomNumber3Label,String,1023,n/a
devguide,,,deviceCustomString1,String,4000,n/a
devguide,,,deviceCustomString1Label,String,1023,n/a
devguide,,,deviceCustomString2,String,4000,n/a
devguide,,,deviceCustomString2Label,String,1023,n/a
devguide,,,deviceCustomString3,String,4000,n/a
devguide,,,deviceCustomString3Label,String,1023,n/a
devguide,,,deviceCustomString4,String,4000,n/a
devguide,,,deviceCustomString4Label,String,1023,n/a
devguide,,,deviceCustomString5,String,4000,n/a
devguide,,,deviceCustomString5Label,String,1023,n/a
devguide,,,deviceCustomString6,String,4000,n/a
devguide,,,deviceCustomString6Label,String,1023,n/a
devguide,,,deviceDnsDomain,String,255,n/a
devguide,,,deviceDomain,String,1023,n/a
devguide,,,deviceEventCategory,String,1023,n/a
devguide,,,deviceEventClassId,String,1023,n/a
devguide,,,deviceExternalId,String,255,n/a
devguide,,,deviceFacility,String,1023,n/a
devguide,,,deviceHostName,String,63,n/a
